#Bucket,PerfectCC-
4.770000000000000000e+02,4.436100000000000000e+04
4.780000000000000000e+02,4.271800000000000000e+04
4.790000000000000000e+02,4.367200000000000000e+04
4.800000000000000000e+02,4.335400000000000000e+04
4.810000000000000000e+02,4.319500000000000000e+04
4.820000000000000000e+02,4.330100000000000000e+04
4.830000000000000000e+02,4.367200000000000000e+04
4.840000000000000000e+02,4.293000000000000000e+04
4.850000000000000000e+02,4.377800000000000000e+04
4.860000000000000000e+02,4.372500000000000000e+04
4.870000000000000000e+02,4.298300000000000000e+04
4.880000000000000000e+02,4.298300000000000000e+04
4.890000000000000000e+02,4.346000000000000000e+04
4.900000000000000000e+02,4.446700000000000000e+04
4.910000000000000000e+02,4.224100000000000000e+04
4.920000000000000000e+02,4.430800000000000000e+04
4.930000000000000000e+02,4.399000000000000000e+04
4.940000000000000000e+02,4.202900000000000000e+04
4.950000000000000000e+02,4.340700000000000000e+04
4.960000000000000000e+02,4.372500000000000000e+04
4.970000000000000000e+02,4.261200000000000000e+04
4.980000000000000000e+02,4.388400000000000000e+04
4.990000000000000000e+02,4.346000000000000000e+04
5.000000000000000000e+02,4.255900000000000000e+04
5.010000000000000000e+02,4.425500000000000000e+04
5.020000000000000000e+02,4.250600000000000000e+04
5.030000000000000000e+02,4.399000000000000000e+04
